uid	followers_count	friends_count	statuses_count	favourites_count	listed_count	created_year	name_words	screen_name_length	description_length
202388889	0.00025304757559	0.00669985862684	0.00860615376788	0.0408684669006	0.000648044692737	0.4	0.125	0.75	0.22754491018
1392518336	0.000287444727025	0.00285819657016	0.0175211951407	0.013769125649	0.00290502793296	0.7	0.125	0.666666666667	0.952095808383
361208576	0.000152020976971	0.00197034578373	0.0071262187433	0.00218688368117	0.000648044692737	0.5	0.25	0.416666666667	0.77245508982
1535215357	0.00057055974268	0.00831847890671	0.170748525516	0.168828953497	0.00156424581006	0.7	0.0	0.666666666667	0.137724550898
4396196375	0.000300914940174	0.00330895158481	0.033433449257	0.0517741357401	0.00214525139665	0.9	0.0	0.833333333333	0.946107784431
17938477	8.00996603341e-05	0.00170740535852	0.00496763948092	0.0154212673959	0.00167597765363	0.2	0.25	1.0	0.239520958084
720288026681716737	1.63566873956e-05	0.000239036750193	0.00865066992271	7.09155970231e-05	0.00239106145251	1.0	0.125	0.75	0.51497005988
174004739	8.85185435524e-05	0.00641642933732	0.051235368721	0.25473457442	0.000648044692737	0.4	0.0	0.75	0.0
53783678	0.000182810035597	0.00368458076369	0.0357673676598	0.133549402297	0.00160893854749	0.3	0.25	0.5	0.724550898204
257662370	0.000183531654159	0.00470219435737	0.0174794044647	0.0180393945725	0.000692737430168	0.5	0.25	0.916666666667	0.526946107784
4795355113	6.8553763349e-05	0.00138641315112	0.000703173547592	0.000799237944828	0.000625698324022	1.0	0.25	0.916666666667	0.958083832335
1633971270	2.74215053396e-05	0.000201473832305	0.00696632398312	0.0113579953502	0.000379888268156	0.7	0.125	0.833333333333	0.479041916168
2803810119	1.37107526698e-05	0.00110639867232	0.00358400470963	0.0157470958146	0.000513966480447	0.8	0.0	0.583333333333	0.0
2244770588	0.0114054219051	0.0828091598883	0.0113307241416	0.00379877603513	0.00531843575419	0.7	0.0	0.916666666667	0.766467065868
102071251	8.34672136215e-05	0.00267038198073	0.00514752108612	0.00132822996586	0.000536312849162	0.4	0.125	0.25	0.622754491018
3358825450	8.22645160188e-05	0.000478073500386	0.00412546651113	0.0203757759987	4.46927374302e-05	0.9	0.0	0.75	0.11377245509
555940842	0.000104153612386	0.00141031682614	0.0385155588504	0.0236934759567	0.000558659217877	0.6	0.0	0.75	0.353293413174
2469354073	2.0686398765e-05	0.000153666482267	0.000133548464465	3.44994796328e-05	0.000715083798883	0.8	0.125	1.0	0.0
360464656	9.54941896476e-05	0.00282063365228	0.0744228344253	0.0251156211727	0.000759776536313	0.5	0.125	0.75	0.880239520958
77243076	2.16485568471e-05	0.000645399225521	0.0111880907475	7.66655102952e-06	0.000290502793296	0.3	0.25	0.75	0.305389221557
1731752761	3.60809280784e-06	0.000140007239399	4.26991689106e-05	0.0001169149032	0.000446927374302	0.7	0.0	0.666666666667	0.215568862275
2330149164	0.000104634691427	0.00161179065844	0.0232238054226	0.00278104138596	0.000581005586592	0.8	0.0	0.666666666667	0.14371257485
2830586398	4.11322580094e-05	0.00135909466538	0.00107838113823	0.0013493129812	0.000111731843575	0.8	0.25	1.0	0.497005988024
443273019	5.31592340356e-05	0.00057710301118	0.00978992008896	0.00500625782228	0.000469273743017	0.5	0.125	0.666666666667	0.874251497006
2591381383	0.00142688043574	0.0059315262155	0.0030143796265	0.000346911434086	0.00849162011173	0.8	0.25	1.0	0.934131736527
1093716612	3.75241652016e-05	0.000840043436392	0.00272457037368	0.00152947693039	0.000603351955307	0.7	0.125	1.0	0.437125748503
36620392	0.000128929183	0.00425143934272	0.0292398457742	0.0098936841036	0.000670391061453	0.3	0.125	0.833333333333	0.179640718563
3437626995	4.08917184889e-06	0.000143422050116	5.9960535066e-05	2.29996530886e-05	0.000446927374302	0.9	0.0	1.0	0.131736526946
